mmsi,timestamp,lat,lon,sog,cog,heading,nav_status,shiptype,draught,destination
111000001,2025-01-01 00:00:00,55.63712044784932,12.595230881733336,11.519796142062837,100.10515284806526,97.20076217794768,Under way,Cargo,8.087407548138582,Copenhagen
111000001,2025-01-01 00:01:00,55.636962896907164,12.595241992646642,11.434237559342169,84.68182589781772,84.09444838896097,Under way,Passenger,7.28034992108518,Copenhagen
111000001,2025-01-01 00:02:00,55.636774054418886,12.595540852880099,11.946135165549727,93.94233021879602,94.55342604490941,Under way,Cargo,7.252496259847715,Copenhagen
111000001,2025-01-01 00:03:00,55.63661942372026,12.594527493072233,12.170019887862095,97.79192634515005,92.28643756340088,Under way,Cargo,9.165974558680823,Copenhagen
111000001,2025-01-01 00:04:00,55.63650348183509,12.59394810795127,12.283242453218303,82.9554654962341,76.06576897712168,Under way,Tanker,5.156566462277793,Copenhagen
111000001,2025-01-01 00:05:00,55.63639754683949,12.593859965120307,12.523421007608208,96.98398941331722,96.12584523718513,Under way,Passenger,9.609371175115584,Copenhagen
111000001,2025-01-01 00:06:00,55.63636285235477,12.593709413272514,12.227716609534722,82.80155791605291,80.49836406125398,Under way,Cargo,5.704621124873813,Copenhagen
111000001,2025-01-01 00:07:00,55.63667998902264,12.59400047466987,12.405266301453393,98.94332330108762,102.71831228731129,Under way,Cargo,9.631504392566745,Copenhagen
111000001,2025-01-01 00:08:00,55.636878674376725,12.594121035751165,12.371625283833575,101.64768645504523,100.41894801791003,Under way,Tanker,6.625916610133736,Copenhagen
111000001,2025-01-01 00:09:00,55.636647774044626,12.594527298662362,12.64287328954774,89.27989878419666,94.29756327365678,Under way,Cargo,9.858560476945518,Copenhagen
111000001,2025-01-01 00:10:00,55.636788112470605,12.594895359837697,12.486932913415764,81.56103639656074,80.80836710526182,Under way,Passenger,5.157145928433671,Copenhagen
111000001,2025-01-01 00:11:00,55.63649844516904,12.594185984608401,12.695431236883648,99.03532490625842,99.13032656156918,Under way,Passenger,8.022086896389087,Copenhagen
111000001,2025-01-01 00:12:00,55.63607286623014,12.594281153100884,12.722582002778946,96.08089662000961,99.60580317667322,Under way,Tanker,9.040601897822086,Copenhagen
111000001,2025-01-01 00:13:00,55.63618114324341,12.594738854159734,12.788332224710883,84.70239796232961,87.26873512789639,Under way,Tanker,9.41640129459434,Copenhagen
111000001,2025-01-01 00:14:00,55.63594893036419,12.594558965087089,12.933148875016059,87.44235363041058,91.69195965072232,Under way,Cargo,9.090073829612464,Copenhagen
111000001,2025-01-01 00:15:00,55.63555553309646,12.593231377063306,13.002252463793813,86.04483548419707,84.59915120184735,Under way,Passenger,5.841455210864653,Copenhagen
111000001,2025-01-01 00:16:00,55.63564592993674,12.592502118602813,12.86970480111817,88.53527193258384,84.3051868503053,Under way,Passenger,7.4862425294619275,Copenhagen
111000001,2025-01-01 00:17:00,55.63539918312611,12.591965852685595,12.671187565237531,91.02347682549667,88.86043042275661,Under way,Tanker,7.055185066591156,Copenhagen
111000001,2025-01-01 00:18:00,55.635375156925505,12.591845162619773,12.957890662695515,100.65793708549305,88.16414137729949,Under way,Tanker,6.210276357557502,Copenhagen
111000001,2025-01-01 00:19:00,55.63581925549386,12.59241657402703,13.10827726923287,97.91031947043047,93.36338219645677,Under way,Cargo,8.161529152967898,Copenhagen
111000001,2025-01-01 00:20:00,55.63599531262199,12.593511801839936,12.910170004206732,84.33702270397228,84.83527952941049,Under way,Passenger,6.101205237827742,Copenhagen
111000001,2025-01-01 00:21:00,55.635844269925755,12.593955557647144,13.031266630376267,82.79702007141186,81.4473512260334,Under way,Cargo,8.45468869051233,Copenhagen
111000001,2025-01-01 00:22:00,55.63603043439054,12.593875088958713,12.953613750580944,81.14487626171152,79.36115113287055,Under way,Tanker,9.910841716647177,Copenhagen
111000001,2025-01-01 00:23:00,55.636197270930104,12.59301982416945,12.977409448960142,100.00485607762104,100.76696038891734,Under way,Passenger,6.6951489552435035,Copenhagen
111000001,2025-01-01 00:24:00,55.636587089974384,12.592586251091426,13.100937618062371,102.1707079698011,103.30214931729547,Under way,Passenger,6.861413832808715,Copenhagen
